Accuracy,BPM,Difficulty,Length,Title
8.0,135.0,3.782927989957143,86,Melting Point
8.799999999999999,127.7,6.139677047728571,347,Lazy Eye
8.0,148.0,4.441973686221428,85,Stella Breeze (TV Size)
8.799999999999999,173.0,6.130423545835714,66,Butsutekkai
8.0,80.0,2.3936085701,25,~DISK 1~
8.0,50.35,5.410682678221429,319,EXEC_PAJA/.#Orica extracting.
8.5,170.0,5.559908866885714,201,Gekka Jasmine (2014ver.)
8.0,180.0,6.297186374664285,110,Oriental Blossom
8.7,180.0,5.283576488492857,95,Haruoto*Veil
8.0,167.0,4.7520670890785714,61,"Life [Eris's ""a Fate Encounter"" mix]"
6.0,107.0,3.2801139354714284,237,Casi Humanos
7.8,144.0,4.92757463455,226,Ohedo Julia-Night
7.5,124.0,4.228580474849999,80,super anime groove 3d world
8.7,176.0,5.630996227264285,88,SHIORI -TV size mix-
8.0,140.0,5.121196746828571,379,Hoshikuzu no Interlude (Serji Remix)
9.5,234.0,7.068558692928571,206,Sukisuki Zecchoushou
9.0,170.0,5.869568347928571,366,Hidra Heteromycin
8.2,151.0,4.108300685885713,34,Narwhals
8.7,158.0,4.930590152742856,92,Natsukoi Hanabi
7.5,71.5,3.406836986542857,85,Hajimari no Shirushi (Anime Size)
10.0,105.0,4.6506366729714275,103,Shadow gate to love
8.299999999999999,172.0,5.223463058471428,467,Darkmist
8.0,128.0,3.8983290195499998,62,Virgin
9.0,300.0,5.687873840328572,99,Punk Rock Girl
8.7,174.0,5.792609214785714,100,Diamond
9.0,70.0,6.297163486478571,330,Gareki no Shuuon
7.5,130.0,3.8092682361571426,86,Yumeiro Compass
8.0,150.0,4.288424968721428,310,Rebirth
8.2,183.0,5.494197845457143,107,Exceed the Destiny (short ver.)
7.5,140.0,4.009259223935714,172,Wilt
7.5,76.0,3.289266586307143,86,Kimi no Uta TV ver.
7.699999999999999,144.0,4.888277053835714,101,Koi Kou Enishi
9.5,158.0,5.638356685635714,88,No Poi!
8.0,174.0,5.336957931521428,111,Fall Away
8.0,165.0,5.0970540046714286,170,Shunkan Everlasting
9.0,296.0,6.002760887142857,87,Curtain Call!!!!!
9.0,180.0,5.697318077085714,87,"Dakara, Hitori ja Nai -TV Size-"
8.0,170.0,3.8435499668142854,89,Sayonara no Yukue ~TV size~
8.0,146.0,5.000545024871428,88,DEAREST DROP (TVsize)
8.0,95.0,4.395543575285714,82,GIGA WRECKER Title Theme
8.5,175.0,5.509679317471428,209,haze
8.2,180.0,5.525255680085714,418,Huan Xiang Xiang Di Yi Tao Guang Bo Ti Cao
8.5,170.0,5.054763317107143,298,Find the blue
7.0,130.0,3.6620926857,104,Intro : Boy Meets Evil
8.0,138.0,4.819386482235714,302,Sen no Yukari
8.0,100.392,5.197512626649999,80,Suck My Kiss
7.0,130.0,3.5903511047357144,88,Precious You*
9.0,200.0,6.365035057071428,317,Tales of The Destinies
7.0,130.0,3.9264845848071426,43,SILNOYE ZAYAVLENIE (feat. Sergey Druzhko)
8.0,142.0,4.077068805692857,122,Alone
8.0,130.0,3.904860496521428,97,NIKOLAY (feat. Nikolay Sobolev)
8.299999999999999,154.0,4.559480667114285,168,Beautiful
8.0,180.0,5.006191253664285,87,Sakurane
8.0,107.95,3.9269273281071424,88,Ishukan Communication
8.5,200.0,5.401063442228571,109,Kaze no Uta
7.199999999999999,130.0,2.7802283763857143,49,Wakare no Toki
8.7,181.0,5.575526714321429,135,Hikari
9.0,164.0,5.787144184114285,96,MONSTER
9.0,120.0,5.429053306578571,98,Hanagoyomi short version
8.5,142.0,4.448518276214286,31,Harumachi Clover
8.0,195.0,4.698755741121428,147,Yubikiri
7.5,91.0,4.675467967985714,303,EXEC_VIENA/.
7.0,158.0,3.802021980285714,140,Bubblegum Bitch
6.0,193.0,5.662154674528572,301,Wonder Stella
8.0,140.0,5.1855068206785715,87,again
7.0,136.0,3.6814782619499997,105,E Zuo Ju
8.5,170.678,5.325344085692857,168,Hopes and Dreams
8.0,160.0,4.905257225035714,242,Sanagi
8.799999999999999,174.0,6.280112743378571,114,polygon
9.0,185.0,5.819098472592857,87,Anime o Katare! ~Animegatari Doukoukai no Thema~
9.200000000000001,123.0,6.998173713685714,88,Niji o Ametara (TV Size)
8.0,128.0,3.8045196533214285,99,100Nyan Power de Yumegokoti
8.0,178.0,4.657561302185714,85,ambiguous (TV Size ver.)
8.0,169.97,4.49300432205,78,The Colors Of My Life (Nightcore Mix)
7.5,90.0,2.0187602043142854,62,Friendship
9.0,174.0,6.107232093814285,321,last minute (sakuraburst remix)
8.0,156.0,4.820125103,299,Romanticide
8.0,126.911,2.6080188751214286,27,MAP4(Native Star)
7.3,107.0,3.438140869142857,178,Using You
8.5,120.0,5.695023536678571,369,NASA / I'm Down with Brown Town
6.0,66.0,3.095975637435714,30,Rebirth & Hope
8.0,93.0,5.050570011135714,308,Re:Call
9.0,90.5,5.846840381621428,299,Aphrodite
8.0,168.0,5.1495218277,105,Koujou Joujou High Jump (Short Ver.)
8.0,168.0,4.989496231078571,87,JUMPin' JUMP UP!!!!
8.5,186.0,5.381161212921429,90,Gugutto Work* (Short Ver.)
8.5,175.0,5.272242069242857,86,STEP by STEP UP
9.0,207.0,5.675170898435714,174,SELFISH
9.0,110.0,6.849790573121428,301,The World's End
9.0,165.0,5.251769542692857,88,Hitorigoto -TV MIX-
8.2,140.0,5.125894069671428,292,Edge
8.0,200.0,6.068580627442857,397,Fury of the Storm
7.5,150.0,4.15692567825,58,Bonetrousle (Underswap Version)
9.0,140.0,4.644149780271428,330,Tetsuo's Redemption
9.0,175.0,6.0519490242,105,Interlude
7.0,127.0,3.6053104400642852,86,Zenryoku Shounen produced by Okuda Tamio (anime ver.)
8.5,178.0,5.438381195071429,400,A Sugar Business
9.0,181.0,6.141904830935713,89,Ma.Ka.Se.Te Tonight ~TV SIZE EDIT
8.299999999999999,170.0,5.263086795807142,200,Reiteration
8.2,90.0,5.285983562471428,75,Freesia
9.0,219.0,6.408177375792857,164,Comet Lucifer ~The Seed and the Sower~
6.5,101.0,3.230044126507143,74,Snowdin Town
8.0,144.0,4.878780364992857,208,Wake up
8.0,110.0,4.089910030364286,249,Beginnings
8.0,154.0,4.353284358978571,60,BANANA STREET
9.0,178.0,6.187289714814286,298,RELOADED
8.399999999999999,150.0,4.950314521792857,65,FOLKLORE
8.7,101.0,5.843364715578571,255,mirage
8.0,70.0,3.934280395507143,336,Sakura no Ame
9.0,74.0,5.944527626035715,267,Heikousen
8.0,140.0,4.5582036972071425,90,Steppin' out -TV Size-
7.0,74.0,3.753111839292857,321,Weight of the World English Version
9.0,128.0,4.987662315371428,207,Fuujin Shoujo (Suigetsu Yamato Remix)
8.0,185.0,5.280716419221428,228,Ray of bullet
8.5,141.0,5.40528821945,87,Hello!My World!!
8.799999999999999,100.0,6.2469215393071424,183,Don't Wanna Cry
6.0,74.0,3.25810313225,156,Cosmos no Youni
8.5,174.0,5.634364128114286,309,All That We Lost
7.0,146.0,3.0885014533999997,196,Bubble Pop!
8.5,180.0,4.999985694885715,55,To Be The Best
8.5,180.0,5.651998996735714,113,Jewel Days
8.0,163.0,4.1692323684714285,98,sorairo concerto
5.0,110.0,1.651379942892857,62,Sora ni Kogarete
7.0,97.0,3.2354948520642854,70,Paid My Dues
8.0,176.0,5.6507596969571425,110,Ai YOU READY Ai Wo READY
9.0,193.0,6.217434406278572,90,Now Loading!!!!
9.0,160.0,5.354245662685714,222,Bulls in the Bronx
7.0,100.0,2.922304153442857,99,L'Oiseau bleu
8.0,137.5,3.8456518650071425,220,1st Love Story
9.0,170.0,6.546875476835714,328,Caliburne ~Story of the Legendary sword~
9.5,200.0,7.155813693999999,202,From Under Cover (Caught Up In A Love Song)
8.0,136.0,3.3937647342714286,322,Kawari Yuku Mono
8.5,110.0,5.338021755221428,175,We Are One (Original Vocal Mix)
8.7,175.0,5.746454238892857,301,Cycle Hit
9.0,180.0,5.1476755142214285,297,Kagami no Mary Sue
8.5,174.0,5.292514801028571,252,Hoshi Ori Yume Mirai
8.5,174.0,5.358586311342857,108,Come Back Down
9.0,216.0,6.422120094299999,315,L.L. Infinite Beating.ver
7.0,82.67,3.56382107735,235,Kingdom Of Welcome Addiction
8.799999999999999,149.0,6.725681781771429,293,"chrono diver -fragment- (Camellia's ""crossroads of chrono"" remix)"
6.0,121.0,2.6921839714071427,96,Digital Angel
8.0,122.0,3.7013442516357142,174,I Really Like You
7.8,96.0,3.764825344085714,77,Uchiage Hanabi
8.0,150.0,4.576233863828572,328,miragecoordinator
9.299999999999999,139.0,5.021227359771429,80,YoiYoi Kokon
8.5,152.0,5.835279941557142,87,One In A Billion
9.0,258.0,6.869403839114286,341,Condemnation Wings
8.5,174.0,4.606018543242857,349,Dark Eyes
8.799999999999999,155.0,5.645406723021428,180,Main Theme - Dubstep Remix
6.0,70.0,2.7257997989642857,121,lit(var)
8.299999999999999,130.0,4.773282051085714,85,JINGO JUNGLE
7.0,125.0,3.533999919892857,112,Mirai Melody
8.0,185.0,5.2035946846,301,Youkai no Yama ~ Mysterious Mountain
8.6,175.0,5.922311306,303,Dans la mer de son
7.5,150.0,4.097083568571429,63,Caught Fire (feat. Ashley Lawless)
6.3999999999999995,82.0,2.3662712573999998,104,Partner no Thema Orgel
8.6,186.0,5.2824215889,88,GAMERS!
7.0,122.0,3.295499801635714,181,Egao no Dessin
6.0,83.0,3.167712688442857,184,Galaxy
7.0,143.0,3.819010257721428,300,Little Nova
9.399999999999999,190.0,5.435407161714285,89,Redo
9.299999999999999,195.0,5.98332595825,92,Altros
6.0,120.0,3.0032286644,65,Outro (Rollin')
8.2,131.0,4.169314861299999,88,Vidro Moyou
6.0,84.0,2.906857490542857,86,Zero Tokei (Short ver.)
8.0,180.0,5.1815404892,114,Take me*Take you
9.0,97.0,6.926800251007142,300,Halcyon -Long Version-
8.0,214.0,5.418432712557142,88,LET iT END
5.5,80.0,1.9674335718142855,109,Breathlessly
8.0,184.0,5.387085437771428,149,Hard Knock Days
8.0,90.0,4.232675075528571,172,Dreams Don't Turn To Dust
8.0,176.0,4.851051807399999,87,Gunjou to Contrail
9.0,182.0,5.548215389249999,47,Ne! Ko!
8.5,69.8,5.086511611935714,209,Fly high
8.0,160.0,4.645785808564286,141,Daisuki Nanda
8.0,172.0,4.2125415802,89,rose
8.299999999999999,146.0,5.720988750457142,302,The Anonymous
8.0,146.0,4.778647899628571,109,Greening
7.0,177.15,4.079052448271429,100,Cari Pokemon (Speed Up Ver.)
7.5,95.0,3.7506744861571426,161,EXEC_CHRONICLE=KEY/.
8.5,177.0,5.484521389007143,91,Harmonia
8.5,175.0,5.344152450564285,335,Spectrum
8.0,96.0,4.627932548521429,293,Uchiage Hanabi
8.0,141.0,4.186767578128571,69,Gravity Falls Finale End Credits
6.0,94.0,2.6750795841214283,230,Indah Cintaku
7.0,124.0,3.84859752655,301,ARIA
9.0,230.0,6.690633296964286,379,A Voice Within
8.0,135.0,5.012318134307143,108,Deadlocked
9.0,200.0,6.932943344114285,301,Extraction Zone
7.0,165.0,4.368818759921428,88,Hikari Tatsu Ame
8.0,174.0,5.687069416042856,204,Sleep-walking
8.0,142.0,4.437542438507143,108,Alone
8.5,160.0,4.9732427597071425,164,Kill The Lights
9.0,180.0,5.7431244850142855,88,"Dakara, Hitori ja nai -TV Size-"
7.0,111.0,3.757808446885714,301,Hirahira Hirara
6.0,192.0,6.552889823914286,133,Dreadnought
7.5,153.0,4.064949512478571,89,Sakurairo Diary
8.5,173.0,5.369636535642857,266,Serendipity
8.7,178.0,5.485829353335713,380,Star map (Soleily Remix)
4.0,66.0,1.4891028404214284,133,King of Comedy
8.5,170.0,4.7887597084071425,137,Starlite
8.6,194.0,5.3899950981142855,108,Dokidoki SING OUT!
7.5,73.0,3.584161520007143,113,Hoshikuzu Venus
9.0,87.0,5.819104671478571,291,Fall Away
8.6,175.0,5.548901557921428,88,Hakkensha wa Watashi (Anime Size)
7.5,132.0,3.7686235904714285,293,Eien Misui ni Good-bye
7.0,186.0,4.598405838014286,86,Sakura Sakura Saku ~Ano Hi Kimi o Matsu Sora to Onaji de~ (TV size.)
6.5,175.0,5.944068431857143,313,Reminiscing
7.5,164.0,4.3845448493928565,103,Nijiiro no Kisetsu e
7.0,160.0,3.759590864178571,95,Strike
6.0,130.0,2.5156164169285713,155,SEXY ASS
7.0,129.0,3.290446758271428,63,Yummy Yummy
7.0,124.0,3.5742061138142858,181,Talking to Myself
9.5,174.0,6.634347438814285,321,</emotional>
8.0,88.0,5.042395591735714,361,I'm glad you're evil too
8.5,190.0,5.335551738735714,86,Wolf
7.0,127.0,2.8767404556285716,200,Domino
8.0,170.0,4.587502002714285,225,Life goes on.
9.200000000000001,183.5,6.020102500914286,110,ANiMA
8.0,101.0,4.383597373964285,308,Nokosareta Namae -Toori Kazoe Uta-
8.5,147.0,5.181297779085714,114,PAPAYAPA BASS
8.799999999999999,175.0,5.249677181242856,99,Tenshi ni Fureta yo! (Asterisk DnB Remix)
8.0,145.0,4.613235950471428,227,Hafuri
8.0,128.0,3.9060337543499997,46,TIPA PRIVIDENIE (feat. Utopia Show)
8.0,185.0,4.6383838653571425,102,"""Remizera!"" ShortVer."
7.0,107.0,3.371456861492857,231,Kirai... Demo Suki ~Aishiteru~
7.5,134.0,4.1620092392,115,Kimi to Tsukuru Mou Hitotsu no Mirai
7.0,135.0,2.4048135280642855,62,Faerie Battle
8.299999999999999,174.0,5.896734237671428,313,Key of timepieces
7.0,151.0,3.3634023666357145,128,WHEN AN ANGEL DIES
6.0,95.0,2.8245594501499998,209,Just One Day
8.0,125.0,4.019480228421428,139,Dead On The 4th Of July
8.0,172.0,5.006671905514285,88,Diablo (VIP)
8.0,98.0,5.232558250428571,157,Call On Me
7.0,127.0,3.354855775835714,32,the high class stuff
8.0,162.0,5.012654781342857,85,KAZE
8.0,90.0,4.106045722964286,291,HANAKANZASHI
9.0,96.0,5.777510166171428,257,Endure The Silence
8.6,200.0,5.918694972992856,188,Rock 'n' Roll Nandesu no
8.0,114.0,3.781376838685714,97,Danger
7.0,130.0,3.7538700103785714,314,Star Sky
4.0,97.0,1.8489934205999998,56,Interlude (Fantasy Friendship Forever)
5.0,74.0,2.584115982057143,309,Weight of the World Kowaretasekainouta
7.5,123.0,3.6667757034285713,86,From
8.6,111.0,5.098353862764285,355,Tsumi no Namae
8.5,162.0,4.928355693814285,99,Senpai. [MOVIE Ver.]
8.0,166.74,6.133773803714286,411,"Sonata No.14 in cis-Moll, Op. 27/2 - 3. Satz"
